sample,host_request_ns,host_response_ns,phase,phase_time_s,loop_dt_ms,loop_lateness_ms,rpc_ms,server_spi_ms,server_total_ms,cache_age_ms,board_a_seq,board_b_seq,m12_target_rad,m12_q_rad,m12_dq_rad_s,m12_torque_nm,m12_age_ms,m12_mode,m12_fault,m12_snapshot_seq,m12_board_tick_ms,m12_temperature_c,m13_target_rad,m13_q_rad,m13_dq_rad_s,m13_torque_nm,m13_age_ms,m13_mode,m13_fault,m13_snapshot_seq,m13_board_tick_ms,m13_temperature_c,m21_target_rad,m21_q_rad,m21_dq_rad_s,m21_torque_nm,m21_age_ms,m21_mode,m21_fault,m21_snapshot_seq,m21_board_tick_ms,m21_temperature_c,m22_target_rad,m22_q_rad,m22_dq_rad_s,m22_torque_nm,m22_age_ms,m22_mode,m22_fault,m22_snapshot_seq,m22_board_tick_ms,m22_temperature_c,m23_target_rad,m23_q_rad,m23_dq_rad_s,m23_torque_nm,m23_age_ms,m23_mode,m23_fault,m23_snapshot_seq,m23_board_tick_ms,m23_temperature_c,m31_target_rad,m31_q_rad,m31_dq_rad_s,m31_torque_nm,m31_age_ms,m31_mode,m31_fault,m31_snapshot_seq,m31_board_tick_ms,m31_temperature_c,m32_target_rad,m32_q_rad,m32_dq_rad_s,m32_torque_nm,m32_age_ms,m32_mode,m32_fault,m32_snapshot_seq,m32_board_tick_ms,m32_temperature_c,m33_target_rad,m33_q_rad,m33_dq_rad_s,m33_torque_nm,m33_age_ms,m33_mode,m33_fault,m33_snapshot_seq,m33_board_tick_ms,m33_temperature_c,m42_target_rad,m42_q_rad,m42_dq_rad_s,m42_torque_nm,m42_age_ms,m42_mode,m42_fault,m42_snapshot_seq,m42_board_tick_ms,m42_temperature_c,m43_target_rad,m43_q_rad,m43_dq_rad_s,m43_torque_nm,m43_age_ms,m43_mode,m43_fault,m43_snapshot_seq,m43_board_tick_ms,m43_temperature_c
0,18922200214362,18922254553715,hold,3.392000508029014e-06,0.0,0.003392000508029014,54.339353,1.4743940009793732,46.90081599983387,0.0667572021484375,24100,23938,0.0,-0.001,-0.01,0.02,1,2,0,24100,18946792,30.6,-0.001,-0.001,-0.08,-0.08,0,2,0,24100,18946792,30.6,-0.805,-0.805,0.11,0.0,4,0,0,24100,18946792,31.9,-0.815,-0.815,-0.04,0.0,4,0,0,24100,18946792,31.3,-0.006,-0.006,0.02,0.0,3,0,0,24100,18946792,31.9,-0.002,-0.002,0.13,0.0,4,0,0,23938,18946794,29.9,0.002,0.002,0.01,0.0,6,0,0,23938,18946794,29.9,-0.826,-0.826,0.01,0.0,6,0,0,23938,18946794,30.6,-0.004,-0.004,0.11,0.0,6,0,0,23938,18946794,29.9,-0.81,-0.811,-0.02,0.0,6,0,0,23938,18946794,30.6
1,18922254747419,18922264597060,hold,0.05458125099903555,10.043345,0.0015039986465126276,9.849641,2.1058120000816416,3.209279999282444,0.06818771362304688,24101,23939,0.0,0.0,0.02,-0.01,1,2,0,24101,18946807,30.6,-0.001,-0.001,-0.02,-0.23,0,2,0,24101,18946807,30.6,-0.805,-0.805,-0.06,-0.07,13,2,0,24101,18946807,31.9,-0.815,-0.816,-0.04,-0.02,9,2,0,24101,18946807,31.3,-0.006,-0.006,-0.18,-0.04,10,2,0,24101,18946807,31.9,-0.002,-0.002,-0.02,-0.09,1,2,0,23939,18946806,29.9,0.002,0.002,-0.05,0.03,11,2,0,23939,18946806,29.9,-0.826,-0.826,-0.07,0.14,8,2,0,23939,18946806,30.6,-0.004,-0.004,0.03,-0.05,9,2,0,23939,18946806,29.9,-0.81,-0.81,0.05,-0.08,10,2,0,23939,18946806,30.6
2,18922274823388,18922283748801,hold,0.074656259999756,19.151741,0.07651299893041141,8.925413,1.5105560014490038,2.5567099983163644,0.06437301635742188,24102,23940,0.0,0.0,-0.09,0.09,9,2,0,24102,18946817,30.6,-0.001,-0.001,-0.03,-0.01,9,2,0,24102,18946817,30.6,-0.805,-0.805,0.02,-0.38,8,2,0,24102,18946817,31.9,-0.815,-0.816,-0.04,0.0,4,2,0,24102,18946817,31.3,-0.006,-0.006,0.0,-0.05,5,2,0,24102,18946817,31.9,-0.002,-0.002,0.02,0.15,10,2,0,23940,18946816,29.9,0.002,0.001,-0.07,0.06,6,2,0,23940,18946816,29.9,-0.826,-0.826,-0.11,0.04,3,2,0,23940,18946816,30.6,-0.004,-0.004,-0.05,0.03,5,2,0,23940,18946816,29.9,-0.81,-0.81,-0.08,-0.17,5,2,0,23940,18946816,30.6
3,18922294822011,18922304411898,hold,0.09465613099746406,20.663097,0.07638399620191194,9.589887,1.5549099989584647,2.5961669998650905,0.06389617919921875,24103,23941,0.0,0.0,0.11,-0.03,1,2,0,24103,18946837,30.6,-0.001,-0.001,0.0,0.02,15,2,0,24103,18946837,30.6,-0.805,-0.805,-0.17,-0.05,13,2,0,24103,18946837,31.9,-0.815,-0.816,-0.07,-0.01,9,2,0,24103,18946837,31.3,-0.006,-0.006,0.03,0.04,10,2,0,24103,18946837,31.9,-0.002,-0.002,-0.01,-0.02,1,2,0,23941,18946836,29.9,0.002,0.001,-0.23,0.04,11,2,0,23941,18946836,29.9,-0.826,-0.826,0.1,0.08,8,2,0,23941,18946836,30.6,-0.004,-0.004,0.14,0.01,10,2,0,23941,18946836,29.9,-0.81,-0.811,0.09,-0.08,10,2,0,23941,18946836,30.6
4,18922314821081,18922323690875,hold,0.11465632099861978,19.278977,0.07657399692106992,8.869794,1.4676110004074872,2.508675999706611,0.06580352783203125,24104,23942,0.0,0.0,0.06,0.0,6,2,0,24104,18946857,30.6,-0.001,-0.001,0.04,-0.17,5,2,0,24104,18946857,30.6,-0.805,-0.805,0.06,0.07,3,2,0,24104,18946857,31.9,-0.815,-0.815,0.09,-0.03,14,2,0,24104,18946857,31.3,-0.006,-0.006,-0.19,-0.05,0,2,0,24104,18946857,31.9,-0.002,-0.002,-0.06,0.07,6,2,0,23942,18946856,29.9,0.002,0.001,0.03,-0.02,1,2,0,23942,18946856,29.9,-0.826,-0.826,0.1,0.06,13,2,0,23942,18946856,30.6,-0.004,-0.004,-0.01,0.2,15,2,0,23942,18946856,29.9,-0.81,-0.811,0.06,-0.06,15,2,0,23942,18946856,30.6
5,18922334822840,18922344224079,hold,0.1346572799993737,20.533204,0.07753299723844975,9.401239,1.951597001607297,3.0027760003576986,0.064849853515625,24105,23943,0.0,0.0,0.16,0.08,11,2,0,24105,18946877,30.6,-0.001,-0.001,0.02,-0.09,10,2,0,24105,18946877,30.6,-0.805,-0.805,-0.02,-0.15,8,2,0,24105,18946877,31.9,-0.815,-0.816,-0.15,0.15,4,2,0,24105,18946877,31.3,-0.006,-0.006,0.2,-0.08,5,2,0,24105,18946877,31.9,-0.002,-0.002,-0.01,-0.03,10,2,0,23943,18946875,29.9,0.002,0.001,-0.03,0.23,5,2,0,23943,18946875,29.9,-0.826,-0.826,0.08,0.07,2,2,0,23943,18946875,30.6,-0.004,-0.005,0.09,-0.2,4,2,0,23943,18946875,29.9,-0.81,-0.81,-0.02,-0.07,4,2,0,23943,18946875,30.6
6,18922354820918,18922364450103,hold,0.15465554999900633,20.226024,0.07580299643450417,9.629185,1.7742780000844505,2.8804670000681654,0.0667572021484375,24106,23944,0.0,-0.001,0.0,-0.16,1,2,0,24106,18946897,30.6,-0.001,-0.001,-0.1,0.04,15,2,0,24106,18946897,30.6,-0.805,-0.805,0.09,-0.12,13,2,0,24106,18946897,31.9,-0.815,-0.816,-0.03,0.04,9,2,0,24106,18946897,31.3,-0.006,-0.006,-0.06,-0.2,10,2,0,24106,18946897,31.9,-0.002,-0.002,0.05,-0.12,1,2,0,23944,18946896,29.9,0.002,0.001,0.12,-0.04,11,2,0,23944,18946896,29.9,-0.826,-0.826,0.14,0.06,8,2,0,23944,18946896,30.6,-0.004,-0.004,-0.13,0.16,10,2,0,23944,18946896,29.9,-0.81,-0.811,0.03,0.02,10,2,0,23944,18946896,30.6
7,18922374823669,18922384714272,hold,0.1746573089985759,20.264169,0.07756199556752108,9.890603,2.2150969998619985,3.321829000924481,0.07939338684082031,24107,23945,0.0,-0.001,-0.04,0.01,6,2,0,24107,18946917,30.6,-0.001,-0.001,0.07,-0.01,5,2,0,24107,18946917,30.6,-0.805,-0.805,0.1,-0.04,3,2,0,24107,18946917,31.9,-0.815,-0.816,-0.18,-0.04,14,2,0,24107,18946917,31.3,-0.006,-0.006,-0.18,0.04,15,2,0,24107,18946917,31.9,-0.002,-0.002,0.11,-0.12,6,2,0,23945,18946916,29.9,0.002,0.001,0.09,-0.05,1,2,0,23945,18946916,29.9,-0.826,-0.826,-0.03,-0.03,13,2,0,23945,18946916,30.6,-0.004,-0.004,0.03,0.01,15,2,0,23945,18946916,29.9,-0.81,-0.811,-0.01,-0.22,15,2,0,23945,18946916,30.6
8,18922394823571,18922404730943,hold,0.19465698699787026,20.016671,0.07723999442532659,9.907372,2.288091000082204,3.37613499868894,0.07104873657226562,24108,23946,0.0,-0.001,0.03,-0.21,11,2,0,24108,18946937,30.6,-0.001,-0.001,0.02,0.01,10,2,0,24108,18946937,30.6,-0.805,-0.805,0.08,-0.19,8,2,0,24108,18946937,31.9,-0.815,-0.815,-0.06,0.23,4,2,0,24108,18946937,31.3,-0.006,-0.006,0.0,-0.13,5,2,0,24108,18946937,31.9,-0.002,-0.002,-0.09,0.03,11,2,0,23946,18946936,29.9,0.002,0.001,0.03,0.02,6,2,0,23946,18946936,29.9,-0.826,-0.826,-0.04,0.06,3,2,0,23946,18946936,30.6,-0.004,-0.004,0.07,-0.01,4,2,0,23946,18946936,29.9,-0.81,-0.811,-0.19,-0.13,5,2,0,23946,18946936,30.6
9,18922414831250,18922424692540,hold,0.21466261800014763,19.961597,0.08287099626613781,9.86129,2.3009239994280506,3.377319000719581,0.07104873657226562,24109,23947,0.0,0.0,0.01,-0.17,1,2,0,24109,18946957,30.6,-0.001,-0.001,0.02,-0.19,15,2,0,24109,18946957,30.6,-0.805,-0.805,-0.01,-0.13,13,2,0,24109,18946957,31.9,-0.815,-0.816,0.04,-0.04,9,2,0,24109,18946957,31.3,-0.006,-0.006,0.04,0.0,10,2,0,24109,18946957,31.9,-0.002,-0.002,-0.01,-0.1,1,2,0,23947,18946956,29.9,0.002,0.001,0.07,-0.17,11,2,0,23947,18946956,29.9,-0.826,-0.826,-0.05,0.04,8,2,0,23947,18946956,30.6,-0.004,-0.004,0.02,0.08,9,2,0,23947,18946956,29.9,-0.81,-0.81,0.12,-0.01,10,2,0,23947,18946956,30.6
