sample,host_request_ns,host_response_ns,phase,phase_time_s,loop_dt_ms,loop_lateness_ms,rpc_ms,server_spi_ms,server_total_ms,cache_age_ms,board_a_seq,board_b_seq,m12_target_rad,m12_q_rad,m12_dq_rad_s,m12_torque_nm,m12_age_ms,m12_mode,m12_fault,m12_snapshot_seq,m12_board_tick_ms,m12_temperature_c,m13_target_rad,m13_q_rad,m13_dq_rad_s,m13_torque_nm,m13_age_ms,m13_mode,m13_fault,m13_snapshot_seq,m13_board_tick_ms,m13_temperature_c,m21_target_rad,m21_q_rad,m21_dq_rad_s,m21_torque_nm,m21_age_ms,m21_mode,m21_fault,m21_snapshot_seq,m21_board_tick_ms,m21_temperature_c,m22_target_rad,m22_q_rad,m22_dq_rad_s,m22_torque_nm,m22_age_ms,m22_mode,m22_fault,m22_snapshot_seq,m22_board_tick_ms,m22_temperature_c,m23_target_rad,m23_q_rad,m23_dq_rad_s,m23_torque_nm,m23_age_ms,m23_mode,m23_fault,m23_snapshot_seq,m23_board_tick_ms,m23_temperature_c,m31_target_rad,m31_q_rad,m31_dq_rad_s,m31_torque_nm,m31_age_ms,m31_mode,m31_fault,m31_snapshot_seq,m31_board_tick_ms,m31_temperature_c,m32_target_rad,m32_q_rad,m32_dq_rad_s,m32_torque_nm,m32_age_ms,m32_mode,m32_fault,m32_snapshot_seq,m32_board_tick_ms,m32_temperature_c,m33_target_rad,m33_q_rad,m33_dq_rad_s,m33_torque_nm,m33_age_ms,m33_mode,m33_fault,m33_snapshot_seq,m33_board_tick_ms,m33_temperature_c,m42_target_rad,m42_q_rad,m42_dq_rad_s,m42_torque_nm,m42_age_ms,m42_mode,m42_fault,m42_snapshot_seq,m42_board_tick_ms,m42_temperature_c,m43_target_rad,m43_q_rad,m43_dq_rad_s,m43_torque_nm,m43_age_ms,m43_mode,m43_fault,m43_snapshot_seq,m43_board_tick_ms,m43_temperature_c
0,18156610176871,18156667223888,hold,2.688000677153468e-06,0.0,0.002688000677153468,57.047017,2.1965640007692855,50.21632399802911,0.06604194641113281,51272,51104,0.001,0.001,-0.1,-0.09,1,2,0,51272,18181210,29.9,0.0,0.0,-0.19,0.1,0,2,0,51272,18181210,29.3,-0.805,-0.805,-0.07,0.0,3,0,0,51272,18181210,29.9,-0.814,-0.814,0.0,0.0,4,0,0,51272,18181210,29.3,-0.003,-0.003,-0.01,0.0,4,0,0,51272,18181210,29.9,-0.002,-0.002,-0.07,0.0,7,0,0,51104,18181212,29.3,0.002,0.002,-0.07,0.0,7,0,0,51104,18181212,29.3,-0.812,-0.812,0.05,0.0,6,0,0,51104,18181212,29.9,0.001,0.001,0.08,0.0,6,0,0,51104,18181212,29.3,-0.81,-0.81,-0.04,0.0,6,0,0,51104,18181212,29.3
1,18156667414487,18156676970725,hold,0.0572853940029745,9.746837,0.0015360019460786134,9.556238,2.078000001347391,3.1359280001197476,0.06079673767089844,51273,51105,0.001,0.001,0.03,0.1,6,2,0,51273,18181225,29.9,0.0,0.0,-0.19,0.1,15,2,0,51273,18181225,29.3,-0.805,-0.806,-0.14,-0.11,3,2,0,51273,18181225,29.9,-0.814,-0.814,-0.01,-0.08,7,2,0,51273,18181225,29.3,-0.003,-0.003,0.07,0.04,12,2,0,51273,18181225,29.9,-0.002,-0.002,0.11,-0.12,7,2,0,51105,18181224,29.3,0.002,0.002,-0.09,0.08,10,2,0,51105,18181224,29.3,-0.812,-0.812,-0.12,0.21,11,2,0,51105,18181224,29.9,0.001,0.001,-0.08,0.07,3,2,0,51105,18181224,29.3,-0.81,-0.81,0.07,-0.01,3,2,0,51105,18181224,29.3
2,18156687495000,18156697136522,hold,0.07736520300022676,20.165797,0.0813449987617787,9.641522,1.9569390024116728,2.997651001351187,0.058650970458984375,51274,51106,0.001,0.001,-0.08,0.04,1,2,0,51274,18181235,29.9,0.0,0.0,-0.01,0.0,10,2,0,51274,18181235,29.3,-0.805,-0.806,-0.05,-0.05,10,2,0,51274,18181235,29.9,-0.814,-0.814,-0.04,-0.09,2,2,0,51274,18181235,29.3,-0.003,-0.003,0.05,0.09,7,2,0,51274,18181235,29.9,-0.002,-0.002,0.1,0.03,2,2,0,51106,18181234,29.3,0.002,0.001,0.09,-0.18,5,2,0,51106,18181234,29.3,-0.812,-0.812,-0.08,-0.02,7,2,0,51106,18181234,29.9,0.001,0.001,0.02,-0.01,10,2,0,51106,18181234,29.3,-0.81,-0.81,0.0,0.25,10,2,0,51106,18181234,29.3
3,18156707496982,18156717594009,hold,0.09736734500256716,20.457487,0.08348700066562742,10.097027,2.399355998932151,3.4104980004485697,0.0591278076171875,51275,51107,0.001,0.001,-0.01,0.06,6,2,0,51275,18181255,29.9,0.0,0.0,0.15,0.0,0,2,0,51275,18181255,29.3,-0.805,-0.805,-0.08,-0.08,3,2,0,51275,18181255,29.9,-0.814,-0.814,-0.09,0.03,7,2,0,51275,18181255,29.3,-0.003,-0.004,-0.09,-0.16,12,2,0,51275,18181255,29.9,-0.002,-0.002,-0.1,-0.03,7,2,0,51107,18181254,29.3,0.002,0.001,0.07,-0.18,10,2,0,51107,18181254,29.3,-0.812,-0.812,0.02,-0.08,12,2,0,51107,18181254,29.9,0.001,0.001,-0.2,0.16,3,2,0,51107,18181254,29.3,-0.81,-0.81,0.0,-0.01,3,2,0,51107,18181254,29.3
4,18156727496949,18156736913469,hold,0.11736782400112133,19.31946,0.08396599878324196,9.41652,2.086383999994723,3.1346799987659324,0.05626678466796875,51276,51108,0.001,0.001,-0.13,-0.17,11,2,0,51276,18181275,29.9,0.0,0.0,-0.01,-0.2,5,2,0,51276,18181275,29.3,-0.805,-0.805,-0.1,0.15,8,2,0,51276,18181275,29.9,-0.814,-0.814,0.04,-0.1,12,2,0,51276,18181275,29.3,-0.003,-0.003,0.03,-0.19,2,2,0,51276,18181275,29.9,-0.002,-0.002,-0.19,-0.04,12,2,0,51108,18181274,29.3,0.002,0.001,-0.01,-0.02,0,2,0,51108,18181274,29.3,-0.812,-0.812,0.07,-0.26,2,2,0,51108,18181274,29.9,0.001,0.001,-0.13,0.04,8,2,0,51108,18181274,29.3,-0.81,-0.81,-0.02,-0.1,8,2,0,51108,18181274,29.3
5,18156748239375,18156758391796,hold,0.13796938100131229,21.478327,0.6855229985376354,10.152421,2.0974250001017936,3.1446969987882767,0.06270408630371094,51277,51109,0.001,0.001,-0.16,0.14,1,2,0,51277,18181295,29.9,0.0,0.0,0.15,-0.02,10,2,0,51277,18181295,29.3,-0.805,-0.805,-0.13,-0.23,13,2,0,51277,18181295,29.9,-0.814,-0.814,0.02,0.05,2,2,0,51277,18181295,29.3,-0.003,-0.003,-0.07,0.23,7,2,0,51277,18181295,29.9,-0.002,-0.002,0.05,-0.04,2,2,0,51109,18181294,29.3,0.002,0.001,0.02,-0.02,5,2,0,51109,18181294,29.3,-0.812,-0.812,0.17,-0.1,7,2,0,51109,18181294,29.9,0.001,0.001,0.0,0.04,13,2,0,51109,18181294,29.3,-0.81,-0.81,-0.04,-0.04,13,2,0,51109,18181294,29.3
6,18156767501393,18156777207301,hold,0.15736753200326348,18.815505,0.08367400005226955,9.705908,2.2573019996343646,3.3303669988526963,0.06747245788574219,51278,51110,0.001,0.001,0.08,-0.02,7,2,0,51278,18181316,29.9,0.0,0.0,-0.16,0.03,1,2,0,51278,18181316,29.3,-0.805,-0.806,-0.02,0.12,4,2,0,51278,18181316,29.9,-0.814,-0.814,-0.07,-0.03,8,2,0,51278,18181316,29.3,-0.003,-0.003,-0.07,-0.01,13,2,0,51278,18181316,29.9,-0.002,-0.002,0.0,0.04,8,2,0,51110,18181315,29.3,0.002,0.001,0.02,0.05,11,2,0,51110,18181315,29.3,-0.812,-0.812,0.18,0.02,13,2,0,51110,18181315,29.9,0.001,0.001,-0.06,-0.02,4,2,0,51110,18181315,29.3,-0.81,-0.81,-0.07,0.01,4,2,0,51110,18181315,29.3
7,18156787495247,18156797191586,hold,0.17736442600289593,19.984285,0.08056799924816005,9.696339,2.1236329994280823,3.1837059977988247,0.06413459777832031,51279,51111,0.001,0.001,-0.02,0.16,11,2,0,51279,18181335,29.9,0.0,0.0,-0.16,0.06,5,2,0,51279,18181335,29.3,-0.805,-0.805,0.02,0.15,8,2,0,51279,18181335,29.9,-0.814,-0.814,-0.07,0.06,12,2,0,51279,18181335,29.3,-0.003,-0.003,0.02,-0.1,2,2,0,51279,18181335,29.9,-0.002,-0.002,0.1,0.07,11,2,0,51111,18181334,29.3,0.002,0.001,0.07,0.3,15,2,0,51111,18181334,29.3,-0.812,-0.812,0.01,-0.09,1,2,0,51111,18181334,29.9,0.001,0.001,0.03,0.06,8,2,0,51111,18181334,29.3,-0.81,-0.81,0.06,0.03,8,2,0,51111,18181334,29.3
8,18156807501581,18156817872090,hold,0.19737021600303706,20.680504,0.08635799895273522,10.370509,2.5811870000325143,3.591753000364406,0.06198883056640625,51280,51112,0.001,0.001,-0.01,0.0,1,2,0,51280,18181355,29.9,0.0,0.0,-0.04,0.07,10,2,0,51280,18181355,29.3,-0.805,-0.805,-0.01,-0.05,13,2,0,51280,18181355,29.9,-0.814,-0.814,-0.01,0.04,2,2,0,51280,18181355,29.3,-0.003,-0.004,-0.12,0.09,7,2,0,51280,18181355,29.9,-0.002,-0.002,-0.16,-0.28,1,2,0,51112,18181354,29.3,0.002,0.001,-0.12,0.03,5,2,0,51112,18181354,29.3,-0.812,-0.812,-0.12,0.04,6,2,0,51112,18181354,29.9,0.001,0.001,-0.07,0.05,13,2,0,51112,18181354,29.3,-0.81,-0.81,-0.02,-0.08,13,2,0,51112,18181354,29.3
9,18156827500139,18156837033784,hold,0.21736999000131618,19.161694,0.08613199679530226,9.533645,2.115601000696188,3.1204080005409196,0.06270408630371094,51281,51113,0.001,0.001,0.05,-0.02,6,2,0,51281,18181375,29.9,0.0,0.0,0.07,0.07,0,2,0,51281,18181375,29.3,-0.805,-0.805,0.12,0.11,3,2,0,51281,18181375,29.9,-0.814,-0.814,0.01,-0.09,7,2,0,51281,18181375,29.3,-0.003,-0.004,0.01,0.1,12,2,0,51281,18181375,29.9,-0.002,-0.002,-0.12,0.18,7,2,0,51113,18181375,29.3,0.002,0.001,-0.05,0.05,11,2,0,51113,18181375,29.3,-0.812,-0.812,-0.02,-0.07,12,2,0,51113,18181375,29.9,0.001,0.001,0.03,0.06,4,2,0,51113,18181375,29.3,-0.81,-0.81,-0.07,-0.07,4,2,0,51113,18181375,29.3
