sample,host_request_ns,host_response_ns,phase,phase_time_s,loop_dt_ms,loop_lateness_ms,rpc_ms,server_spi_ms,server_total_ms,cache_age_ms,board_a_seq,board_b_seq,m12_target_rad,m12_q_rad,m12_dq_rad_s,m12_torque_nm,m12_age_ms,m12_mode,m12_fault,m12_snapshot_seq,m12_board_tick_ms,m12_temperature_c,m13_target_rad,m13_q_rad,m13_dq_rad_s,m13_torque_nm,m13_age_ms,m13_mode,m13_fault,m13_snapshot_seq,m13_board_tick_ms,m13_temperature_c,m21_target_rad,m21_q_rad,m21_dq_rad_s,m21_torque_nm,m21_age_ms,m21_mode,m21_fault,m21_snapshot_seq,m21_board_tick_ms,m21_temperature_c,m22_target_rad,m22_q_rad,m22_dq_rad_s,m22_torque_nm,m22_age_ms,m22_mode,m22_fault,m22_snapshot_seq,m22_board_tick_ms,m22_temperature_c,m23_target_rad,m23_q_rad,m23_dq_rad_s,m23_torque_nm,m23_age_ms,m23_mode,m23_fault,m23_snapshot_seq,m23_board_tick_ms,m23_temperature_c,m31_target_rad,m31_q_rad,m31_dq_rad_s,m31_torque_nm,m31_age_ms,m31_mode,m31_fault,m31_snapshot_seq,m31_board_tick_ms,m31_temperature_c,m32_target_rad,m32_q_rad,m32_dq_rad_s,m32_torque_nm,m32_age_ms,m32_mode,m32_fault,m32_snapshot_seq,m32_board_tick_ms,m32_temperature_c,m33_target_rad,m33_q_rad,m33_dq_rad_s,m33_torque_nm,m33_age_ms,m33_mode,m33_fault,m33_snapshot_seq,m33_board_tick_ms,m33_temperature_c,m42_target_rad,m42_q_rad,m42_dq_rad_s,m42_torque_nm,m42_age_ms,m42_mode,m42_fault,m42_snapshot_seq,m42_board_tick_ms,m42_temperature_c,m43_target_rad,m43_q_rad,m43_dq_rad_s,m43_torque_nm,m43_age_ms,m43_mode,m43_fault,m43_snapshot_seq,m43_board_tick_ms,m43_temperature_c
0,18783309185947,18783363110044,hold,2.911998308263719e-06,0.0,0.002911998308263719,53.924097,1.9701909986906685,47.713833999296185,0.028371810913085938,17029,16804,0.0,0.0,-0.05,0.06,1,2,0,17029,18807904,29.9,-0.001,-0.001,0.15,-0.02,0,2,0,17029,18807904,30.6,-0.805,-0.805,-0.07,0.0,4,0,0,17029,18807904,31.9,-0.815,-0.815,0.09,0.0,4,0,0,17029,18807904,30.6,-0.005,-0.005,0.03,0.0,1,0,0,17029,18807904,31.3,-0.002,-0.002,0.06,0.15,0,2,0,16804,18807906,29.3,0.002,0.001,-0.12,0.15,0,2,0,16804,18807906,29.3,-0.823,-0.823,-0.04,0.0,3,0,0,16804,18807906,29.9,-0.001,-0.001,-0.11,0.0,3,0,0,16804,18807906,29.3,-0.81,-0.81,0.16,0.0,6,0,0,16804,18807906,29.9
1,18783363304548,18783370354941,hold,0.054162377997272415,7.244897,0.0019519975467119366,7.050393,2.070833998004673,2.5697019991639536,0.031232833862304688,17030,16805,0.0,0.0,-0.11,0.01,1,2,0,17030,18807919,29.9,-0.001,-0.001,-0.04,0.04,2,2,0,17030,18807919,30.6,-0.805,-0.805,0.03,0.12,12,2,0,17030,18807919,31.9,-0.815,-0.815,0.03,0.04,7,2,0,17030,18807919,30.6,-0.005,-0.005,0.07,-0.17,1,2,0,17030,18807919,31.3,-0.002,-0.002,-0.09,0.07,7,2,0,16805,18807918,29.3,0.002,0.002,-0.07,-0.05,7,2,0,16805,18807918,29.3,-0.823,-0.823,0.05,0.01,0,2,0,16805,18807918,29.9,-0.001,-0.001,0.01,0.11,0,2,0,16805,18807918,29.3,-0.81,-0.81,-0.01,0.06,7,2,0,16805,18807918,29.9
2,18783383384547,18783390320759,hold,0.07424148099744343,19.965818,0.08105499728117138,6.936212,1.579646999744,2.1386769985838328,0.030517578125,17031,16806,0.0,0.0,-0.05,0.15,6,2,0,17031,18807926,29.9,-0.001,-0.001,-0.03,-0.1,6,2,0,17031,18807926,30.6,-0.805,-0.806,-0.04,0.05,4,2,0,17031,18807926,31.9,-0.815,-0.815,0.05,-0.01,6,2,0,17031,18807926,30.6,-0.005,-0.005,0.13,0.08,6,2,0,17031,18807926,31.3,-0.002,-0.002,-0.08,-0.32,0,2,0,16806,18807926,29.3,0.002,0.001,0.01,0.16,7,2,0,16806,18807926,29.3,-0.823,-0.823,0.07,-0.07,7,2,0,16806,18807926,29.9,-0.001,-0.001,0.01,-0.12,7,2,0,16806,18807926,29.3,-0.81,-0.81,-0.13,0.05,7,2,0,16806,18807926,29.9
3,18783403387455,18783410712386,hold,0.0942421479994664,20.391627,0.0817219988675788,7.324931,2.076626999041764,2.5560050016792957,0.029802322387695312,17032,16807,0.0,0.0,-0.05,0.13,14,2,0,17032,18807947,29.9,-0.001,-0.001,-0.03,-0.08,15,2,0,17032,18807947,30.6,-0.805,-0.806,0.13,0.03,10,2,0,17032,18807947,31.9,-0.815,-0.815,0.12,-0.02,5,2,0,17032,18807947,30.6,-0.005,-0.005,0.0,0.11,14,2,0,17032,18807947,31.3,-0.002,-0.002,-0.11,-0.14,5,2,0,16807,18807946,29.3,0.002,0.001,0.01,-0.1,5,2,0,16807,18807946,29.3,-0.823,-0.823,0.01,-0.18,13,2,0,16807,18807946,29.9,-0.001,-0.001,0.0,-0.04,13,2,0,16807,18807946,29.3,-0.81,-0.81,-0.2,-0.12,5,2,0,16807,18807946,29.9
4,18783423387194,18783429668756,hold,0.11424483199880342,18.95637,0.08440599776804447,6.281562,1.4570819985237904,1.9362050006748177,0.03147125244140625,17033,16808,0.0,0.0,-0.05,-0.08,4,2,0,17033,18807967,29.9,-0.001,-0.001,0.0,-0.09,5,2,0,17033,18807967,30.6,-0.805,-0.806,-0.04,-0.03,15,2,0,17033,18807967,31.9,-0.815,-0.815,0.09,-0.06,10,2,0,17033,18807967,30.6,-0.005,-0.005,0.02,-0.04,4,2,0,17033,18807967,31.3,-0.002,-0.002,0.1,-0.06,10,2,0,16808,18807966,29.3,0.002,0.002,0.07,-0.17,10,2,0,16808,18807966,29.3,-0.823,-0.823,-0.1,-0.04,3,2,0,16808,18807966,29.9,-0.001,-0.001,-0.04,-0.06,3,2,0,16808,18807966,29.3,-0.81,-0.811,-0.02,-0.12,10,2,0,16808,18807966,29.9
5,18783443390934,18783449711665,hold,0.13424271599797066,20.042909,0.08228999649873003,6.320731,1.5335330026573502,2.01035200007027,0.029802322387695312,17034,16809,0.0,0.001,0.07,-0.06,8,2,0,17034,18807986,29.9,-0.001,-0.001,0.06,-0.09,9,2,0,17034,18807986,30.6,-0.805,-0.805,-0.04,0.36,4,2,0,17034,18807986,31.9,-0.815,-0.815,0.04,-0.04,14,2,0,17034,18807986,30.6,-0.005,-0.005,-0.02,0.04,8,2,0,17034,18807986,31.3,-0.002,-0.002,0.02,-0.12,14,2,0,16809,18807985,29.3,0.002,0.001,0.08,0.14,14,2,0,16809,18807985,29.3,-0.823,-0.823,0.02,-0.03,7,2,0,16809,18807985,29.9,-0.001,-0.001,-0.11,-0.03,7,2,0,16809,18807985,29.3,-0.81,-0.81,-0.05,0.07,14,2,0,16809,18807985,29.9
6,18783463383921,18783470667187,hold,0.1542406629996549,20.955522,0.08023699774639681,7.283266,2.044370001385687,2.523428000131389,0.029802322387695312,17035,16810,0.0,0.0,-0.07,-0.03,13,2,0,17035,18808006,29.9,-0.001,-0.001,-0.04,-0.06,14,2,0,17035,18808006,30.6,-0.805,-0.805,0.08,0.01,9,2,0,17035,18808006,31.9,-0.815,-0.815,0.14,0.08,3,2,0,17035,18808006,30.6,-0.005,-0.005,0.0,-0.07,12,2,0,17035,18808006,31.3,-0.002,-0.002,-0.2,-0.1,4,2,0,16810,18808005,29.3,0.002,0.001,-0.11,-0.09,4,2,0,16810,18808005,29.3,-0.823,-0.823,-0.04,0.15,12,2,0,16810,18808005,29.9,-0.001,-0.001,-0.08,-0.02,12,2,0,16810,18808005,29.3,-0.81,-0.81,-0.15,-0.04,4,2,0,16810,18808005,29.9
7,18783483386925,18783490838869,hold,0.17424328299966874,20.171682,0.08285699732368812,7.451944,2.201654999225866,2.6783459979924373,0.030279159545898438,17036,16811,0.0,0.0,-0.08,-0.02,4,2,0,17036,18808027,29.9,-0.001,-0.001,-0.01,-0.07,5,2,0,17036,18808027,30.6,-0.805,-0.805,0.04,-0.11,15,2,0,17036,18808027,31.9,-0.815,-0.815,0.0,-0.2,9,2,0,17036,18808027,30.6,-0.005,-0.005,-0.01,-0.13,3,2,0,17036,18808027,31.3,-0.002,-0.002,-0.01,-0.17,10,2,0,16811,18808026,29.3,0.002,0.001,0.03,0.11,10,2,0,16811,18808026,29.3,-0.823,-0.823,-0.06,-0.05,3,2,0,16811,18808026,29.9,-0.001,-0.001,0.01,-0.07,3,2,0,16811,18808026,29.3,-0.81,-0.81,0.01,0.07,10,2,0,16811,18808026,29.9
8,18783503416586,18783510755342,hold,0.19425729499926092,19.916473,0.09686899647931568,7.338756,1.6552340021007694,2.247001997602638,0.03552436828613281,17037,16812,0.0,0.0,-0.07,-0.11,9,2,0,17037,18808047,29.9,-0.001,-0.001,-0.05,0.04,10,2,0,17037,18808047,30.6,-0.805,-0.805,-0.07,-0.09,5,2,0,17037,18808047,31.9,-0.815,-0.815,-0.09,-0.07,14,2,0,17037,18808047,30.6,-0.005,-0.005,0.07,0.08,8,2,0,17037,18808047,31.3,-0.002,-0.002,0.09,0.24,0,2,0,16812,18808046,29.3,0.002,0.001,-0.09,-0.14,15,2,0,16812,18808046,29.3,-0.823,-0.823,-0.2,0.09,8,2,0,16812,18808046,29.9,-0.001,-0.001,0.03,-0.2,8,2,0,16812,18808046,29.3,-0.81,-0.81,0.04,-0.01,0,2,0,16812,18808046,29.9
9,18783523391748,18783529910951,hold,0.21424461799688288,19.155609,0.0841919936647173,6.519203,1.5161240007728338,2.1583900015684776,0.030517578125,17038,16813,0.0,0.0,0.04,0.09,14,2,0,17038,18808067,29.9,-0.001,-0.001,0.06,-0.03,14,2,0,17038,18808067,30.6,-0.805,-0.806,-0.03,-0.03,10,2,0,17038,18808067,31.9,-0.815,-0.815,-0.08,-0.07,4,2,0,17038,18808067,30.6,-0.005,-0.005,-0.04,0.1,13,2,0,17038,18808067,31.3,-0.002,-0.002,-0.04,0.25,5,2,0,16813,18808066,29.3,0.002,0.001,0.08,-0.13,5,2,0,16813,18808066,29.3,-0.823,-0.823,-0.19,0.08,13,2,0,16813,18808066,29.9,-0.001,-0.001,0.02,0.09,13,2,0,16813,18808066,29.3,-0.81,-0.81,0.17,0.04,5,2,0,16813,18808066,29.9
