sample,host_request_ns,host_response_ns,phase,phase_time_s,target_rate_rad_s,rpc_ms,server_spi_ms,server_total_ms,cache_age_ms,board_a_seq,board_b_seq,m12_target_rad,m12_q_rad,m12_dq_rad_s,m12_torque_nm,m12_age_ms,m12_mode,m12_fault,m12_temperature_c,m13_target_rad,m13_q_rad,m13_dq_rad_s,m13_torque_nm,m13_age_ms,m13_mode,m13_fault,m13_temperature_c,m21_target_rad,m21_q_rad,m21_dq_rad_s,m21_torque_nm,m21_age_ms,m21_mode,m21_fault,m21_temperature_c,m22_target_rad,m22_q_rad,m22_dq_rad_s,m22_torque_nm,m22_age_ms,m22_mode,m22_fault,m22_temperature_c,m23_target_rad,m23_q_rad,m23_dq_rad_s,m23_torque_nm,m23_age_ms,m23_mode,m23_fault,m23_temperature_c,m31_target_rad,m31_q_rad,m31_dq_rad_s,m31_torque_nm,m31_age_ms,m31_mode,m31_fault,m31_temperature_c,m32_target_rad,m32_q_rad,m32_dq_rad_s,m32_torque_nm,m32_age_ms,m32_mode,m32_fault,m32_temperature_c,m33_target_rad,m33_q_rad,m33_dq_rad_s,m33_torque_nm,m33_age_ms,m33_mode,m33_fault,m33_temperature_c,m42_target_rad,m42_q_rad,m42_dq_rad_s,m42_torque_nm,m42_age_ms,m42_mode,m42_fault,m42_temperature_c,m43_target_rad,m43_q_rad,m43_dq_rad_s,m43_torque_nm,m43_age_ms,m43_mode,m43_fault,m43_temperature_c
0,18382649611268,18382705021080,hold,2.720000338740647e-06,0.0,55.409812,1.9347630004631355,47.41340299733565,0.04458427429199219,62620,62390,0.001,0.001,0.0,0.0,5,0,0,29.9,-0.001,-0.001,0.0,0.0,4,0,0,29.3,-0.805,-0.805,-0.09,0.0,3,0,0,30.6,-0.815,-0.815,-0.03,0.0,4,0,0,29.3,-0.004,-0.004,0.03,0.0,1,0,0,29.9,-0.002,-0.002,0.09,-0.01,2,2,0,29.9,0.002,0.002,0.04,0.0,7,0,0,29.9,-0.821,-0.821,-0.1,0.02,1,2,0,29.9,0.0,0.0,-0.03,0.0,7,0,0,29.3,-0.81,-0.81,0.04,0.0,2,0,0,29.9
1,18382705205663,18382713918740,hold,0.05562879600256565,0.0,8.713077,1.9545400027709547,2.4253429983218666,0.029802322387695312,62621,62391,0.001,0.001,-0.04,-0.26,9,2,0,29.9,-0.001,-0.001,0.09,-0.11,5,2,0,29.3,-0.805,-0.806,-0.15,-0.23,3,2,0,30.6,-0.815,-0.815,-0.14,-0.08,8,2,0,29.3,-0.004,-0.005,-0.1,0.25,1,2,0,29.9,-0.002,-0.002,-0.03,-0.02,4,2,0,29.9,0.002,0.002,0.11,0.01,5,2,0,29.9,-0.821,-0.821,0.02,0.14,8,2,0,29.9,0.0,0.0,0.06,0.09,7,2,0,29.3,-0.81,-0.81,0.09,-0.02,9,2,0,29.9
2,18382725272047,18382733387500,hold,0.07570382000267273,0.0,8.115453,1.441463999071857,2.0257430005585775,0.025033950805664062,62622,62392,0.001,0.001,-0.01,0.29,3,2,0,29.9,-0.001,-0.001,0.2,-0.02,9,2,0,29.3,-0.805,-0.806,-0.06,-0.01,9,2,0,30.6,-0.815,-0.815,0.0,0.0,2,2,0,29.3,-0.004,-0.004,-0.03,-0.22,9,2,0,29.9,-0.002,-0.002,0.04,0.2,9,2,0,29.9,0.002,0.002,0.04,0.08,9,2,0,29.9,-0.821,-0.821,-0.14,-0.03,2,2,0,29.9,0.0,0.0,-0.03,0.05,1,2,0,29.3,-0.81,-0.81,-0.14,0.04,8,2,0,29.9
3,18382745274364,18382753824778,hold,0.09570888900270802,0.0,8.550414,1.9803329996648245,2.436255002976395,0.024318695068359375,62623,62393,0.001,0.001,-0.02,-0.14,8,2,0,29.9,-0.001,-0.001,-0.06,-0.03,4,2,0,29.3,-0.805,-0.805,0.19,-0.19,2,2,0,30.6,-0.815,-0.815,-0.1,-0.09,7,2,0,29.3,-0.004,-0.004,0.0,0.13,0,2,0,29.9,-0.002,-0.002,-0.09,-0.06,3,2,0,29.9,0.002,0.001,-0.04,-0.22,4,2,0,29.9,-0.821,-0.821,-0.02,-0.04,7,2,0,29.9,0.0,0.0,0.02,-0.02,5,2,0,29.3,-0.81,-0.81,0.09,-0.14,13,2,0,29.9
4,18382765266217,18382773760373,hold,0.11570358999961172,0.0,8.494156,2.0794730007764883,2.5354589997732546,0.023365020751953125,62624,62394,0.001,0.001,-0.05,0.06,13,2,0,29.9,-0.001,-0.001,-0.04,-0.01,9,2,0,29.3,-0.805,-0.806,0.08,0.08,7,2,0,30.6,-0.815,-0.815,-0.07,-0.18,12,2,0,29.3,-0.004,-0.004,-0.1,-0.13,5,2,0,29.9,-0.002,-0.002,-0.04,0.08,8,2,0,29.9,0.002,0.001,0.03,0.11,9,2,0,29.9,-0.821,-0.821,0.03,-0.15,12,2,0,29.9,0.0,0.0,-0.06,0.0,10,2,0,29.3,-0.81,-0.81,-0.03,0.04,3,2,0,29.9
5,18382785264054,18382795073237,hold,0.13570094700116897,0.0,9.809183,2.6540869985183235,3.150522999931127,0.027179718017578125,62625,62395,0.001,0.001,-0.04,-0.12,3,2,0,29.9,-0.001,-0.001,-0.05,-0.22,14,2,0,29.3,-0.805,-0.806,-0.01,-0.33,12,2,0,30.6,-0.815,-0.815,-0.09,-0.16,2,2,0,29.3,-0.004,-0.005,-0.06,0.06,10,2,0,29.9,-0.002,-0.002,0.02,-0.08,13,2,0,29.9,0.002,0.002,0.08,0.11,14,2,0,29.9,-0.821,-0.821,0.02,-0.03,2,2,0,29.9,0.0,0.0,0.21,0.04,0,2,0,29.3,-0.81,-0.811,0.04,0.07,8,2,0,29.9
6,18382805262083,18382813717901,hold,0.15570083200145746,0.0,8.455818,1.9778050009335857,2.4486709990014788,0.025033950805664062,62626,62396,0.001,0.001,-0.1,-0.21,9,2,0,29.9,-0.001,-0.001,0.04,0.09,5,2,0,29.3,-0.805,-0.806,0.02,0.12,3,2,0,30.6,-0.815,-0.815,-0.18,-0.2,8,2,0,29.3,-0.004,-0.004,0.09,-0.02,1,2,0,29.9,-0.002,-0.002,0.06,-0.02,4,2,0,29.9,0.002,0.002,0.16,0.06,5,2,0,29.9,-0.821,-0.821,0.03,-0.05,8,2,0,29.9,0.0,0.0,0.06,-0.07,6,2,0,29.3,-0.81,-0.81,0.0,-0.03,14,2,0,29.9
7,18382825267216,18382833834174,hold,0.17570343700208468,0.0,8.566958,1.4579130001948215,2.0718890009447932,0.02384185791015625,62627,62397,0.001,0.001,0.02,-0.17,13,2,0,29.9,-0.001,-0.001,0.04,-0.08,9,2,0,29.3,-0.805,-0.806,-0.04,-0.15,7,2,0,30.6,-0.815,-0.815,-0.04,0.08,12,2,0,29.3,-0.004,-0.004,-0.08,0.2,5,2,0,29.9,-0.002,-0.002,-0.02,-0.18,8,2,0,29.9,0.002,0.002,0.18,-0.02,9,2,0,29.9,-0.821,-0.821,0.01,-0.01,12,2,0,29.9,0.0,0.0,-0.01,0.05,10,2,0,29.3,-0.81,-0.811,-0.11,-0.13,3,2,0,29.9
8,18382845264957,18382853680229,hold,0.19570165800178074,0.0,8.415272,1.4375600003404543,1.9875020007020794,0.023603439331054688,62628,62398,0.001,0.001,-0.06,0.03,3,2,0,29.9,-0.001,-0.001,0.0,-0.23,14,2,0,29.3,-0.805,-0.806,0.03,0.04,12,2,0,30.6,-0.815,-0.815,0.0,0.0,2,2,0,29.3,-0.004,-0.005,0.04,0.07,10,2,0,29.9,-0.002,-0.002,0.03,-0.06,13,2,0,29.9,0.002,0.001,0.13,0.08,14,2,0,29.9,-0.821,-0.821,0.11,-0.05,2,2,0,29.9,0.0,0.0,0.04,-0.16,0,2,0,29.3,-0.81,-0.81,0.2,-0.03,8,2,0,29.9
9,18382865264810,18382873385415,hold,0.21570154300206923,0.0,8.120605,1.4578480004274752,2.111442001478281,0.024557113647460938,62629,62399,0.001,0.001,-0.03,0.15,8,2,0,29.9,-0.001,-0.001,0.08,0.01,4,2,0,29.3,-0.805,-0.806,0.02,0.05,2,2,0,30.6,-0.815,-0.815,0.03,-0.1,7,2,0,29.3,-0.004,-0.004,0.03,-0.04,0,2,0,29.9,-0.002,-0.002,0.05,0.07,3,2,0,29.9,0.002,0.001,-0.09,0.06,4,2,0,29.9,-0.821,-0.821,-0.12,0.23,7,2,0,29.9,0.0,0.0,0.02,0.02,5,2,0,29.3,-0.81,-0.81,-0.05,-0.11,13,2,0,29.9
10,18382885276087,18382893910760,hold,0.23570715599998948,0.0,8.634673,2.0412320009199902,2.511393999157008,0.025510787963867188,62630,62400,0.001,0.001,0.0,-0.13,13,2,0,29.9,-0.001,-0.001,0.01,-0.19,9,2,0,29.3,-0.805,-0.806,-0.02,-0.02,7,2,0,30.6,-0.815,-0.815,-0.08,0.07,12,2,0,29.3,-0.004,-0.004,0.01,0.01,5,2,0,29.9,-0.002,-0.002,-0.11,-0.07,7,2,0,29.9,0.002,0.001,-0.11,-0.01,8,2,0,29.9,-0.821,-0.821,-0.04,-0.26,11,2,0,29.9,0.0,0.0,0.02,0.06,9,2,0,29.3,-0.81,-0.81,0.02,-0.01,2,2,0,29.9
11,18382905269636,18382913231707,hold,0.2557035530007852,0.0,7.962071,1.423542998963967,1.9936460012104362,0.0247955322265625,62631,62401,0.001,0.001,-0.09,0.07,3,2,0,29.9,-0.001,-0.001,0.08,0.03,14,2,0,29.3,-0.805,-0.806,-0.1,-0.05,12,2,0,30.6,-0.815,-0.815,0.07,-0.26,2,2,0,29.3,-0.004,-0.004,0.17,0.11,10,2,0,29.9,-0.002,-0.002,-0.04,0.05,13,2,0,29.9,0.002,0.001,0.16,-0.1,14,2,0,29.9,-0.821,-0.821,0.04,0.06,2,2,0,29.9,0.0,-0.001,-0.12,-0.15,0,2,0,29.3,-0.81,-0.81,0.04,-0.21,8,2,0,29.9
12,18382925267633,18382933762749,hold,0.275702254002681,0.0,8.495116,1.4993869990576059,2.0500640021055005,0.025272369384765625,62632,62402,0.001,0.001,-0.07,-0.09,8,2,0,29.9,-0.001,-0.001,0.06,-0.21,4,2,0,29.3,-0.805,-0.806,-0.16,-0.09,2,2,0,30.6,-0.815,-0.815,0.03,0.16,7,2,0,29.3,-0.004,-0.005,-0.05,-0.08,0,2,0,29.9,-0.002,-0.002,-0.1,0.25,2,2,0,29.9,0.002,0.002,-0.04,0.13,3,2,0,29.9,-0.821,-0.822,-0.12,0.1,5,2,0,29.9,0.0,0.0,-0.1,-0.02,4,2,0,29.3,-0.81,-0.81,-0.09,-0.15,12,2,0,29.9
