sample,host_request_ns,host_response_ns,phase,phase_time_s,loop_dt_ms,loop_lateness_ms,rpc_ms,server_spi_ms,server_total_ms,cache_age_ms,board_a_seq,board_b_seq,m12_target_rad,m12_q_rad,m12_dq_rad_s,m12_torque_nm,m12_age_ms,m12_mode,m12_fault,m12_snapshot_seq,m12_board_tick_ms,m12_temperature_c,m13_target_rad,m13_q_rad,m13_dq_rad_s,m13_torque_nm,m13_age_ms,m13_mode,m13_fault,m13_snapshot_seq,m13_board_tick_ms,m13_temperature_c,m21_target_rad,m21_q_rad,m21_dq_rad_s,m21_torque_nm,m21_age_ms,m21_mode,m21_fault,m21_snapshot_seq,m21_board_tick_ms,m21_temperature_c,m22_target_rad,m22_q_rad,m22_dq_rad_s,m22_torque_nm,m22_age_ms,m22_mode,m22_fault,m22_snapshot_seq,m22_board_tick_ms,m22_temperature_c,m23_target_rad,m23_q_rad,m23_dq_rad_s,m23_torque_nm,m23_age_ms,m23_mode,m23_fault,m23_snapshot_seq,m23_board_tick_ms,m23_temperature_c,m31_target_rad,m31_q_rad,m31_dq_rad_s,m31_torque_nm,m31_age_ms,m31_mode,m31_fault,m31_snapshot_seq,m31_board_tick_ms,m31_temperature_c,m32_target_rad,m32_q_rad,m32_dq_rad_s,m32_torque_nm,m32_age_ms,m32_mode,m32_fault,m32_snapshot_seq,m32_board_tick_ms,m32_temperature_c,m33_target_rad,m33_q_rad,m33_dq_rad_s,m33_torque_nm,m33_age_ms,m33_mode,m33_fault,m33_snapshot_seq,m33_board_tick_ms,m33_temperature_c,m42_target_rad,m42_q_rad,m42_dq_rad_s,m42_torque_nm,m42_age_ms,m42_mode,m42_fault,m42_snapshot_seq,m42_board_tick_ms,m42_temperature_c,m43_target_rad,m43_q_rad,m43_dq_rad_s,m43_torque_nm,m43_age_ms,m43_mode,m43_fault,m43_snapshot_seq,m43_board_tick_ms,m43_temperature_c
0,17909531247422,17909584303401,hold,3.2000025385059416e-06,0.0,0.0032000025385059416,53.055979,1.9960740028182045,47.015019998070784,0.029325485229492188,38922,38754,0.001,0.001,-0.04,-0.15,1,2,0,38922,17934131,29.3,0.001,0.001,-0.03,0.0,3,0,0,38922,17934131,28.6,-0.805,-0.805,0.0,0.0,3,0,0,38922,17934131,29.3,-0.813,-0.813,-0.03,0.0,3,0,0,38922,17934131,28.6,-0.001,-0.001,-0.03,0.0,3,0,0,38922,17934131,29.3,-0.003,-0.003,0.03,0.11,1,2,0,38754,17934133,28.6,0.002,0.002,0.04,0.03,1,2,0,38754,17934133,28.6,-0.811,-0.811,0.1,0.0,3,0,0,38754,17934133,29.3,0.002,0.002,-0.07,0.0,7,0,0,38754,17934133,28.6,-0.809,-0.809,0.15,0.0,2,0,0,38754,17934133,29.3
1,17909584498800,17909592322386,hold,0.053295667999918805,8.018985,0.0016640005924273282,7.823586,1.8087070020555984,2.3068059999786783,0.030517578125,38923,38755,0.001,0.001,0.02,0.23,11,2,0,38923,17934146,29.3,0.001,0.001,0.04,0.09,14,2,0,38923,17934146,28.6,-0.805,-0.805,0.06,-0.03,10,2,0,38923,17934146,29.3,-0.813,-0.812,0.06,-0.04,14,2,0,38923,17934146,28.6,-0.001,-0.001,-0.05,-0.02,5,2,0,38923,17934146,29.3,-0.003,-0.003,0.03,0.11,13,2,0,38755,17934145,28.6,0.002,0.002,-0.07,0.01,8,2,0,38755,17934145,28.6,-0.811,-0.811,0.05,-0.08,10,2,0,38755,17934145,29.3,0.002,0.002,0.22,-0.07,9,2,0,38755,17934145,28.6,-0.809,-0.809,-0.07,-0.16,9,2,0,38755,17934145,29.3
2,17909604579416,17909611629468,hold,0.07337724399985746,19.307082,0.08324000009451993,7.050052,2.151248001609929,2.6259850019414444,0.028848648071289062,38924,38756,0.001,0.001,-0.02,-0.19,3,2,0,38924,17934153,29.3,0.001,0.001,-0.03,-0.09,6,2,0,38924,17934153,28.6,-0.805,-0.805,0.1,-0.19,2,2,0,38924,17934153,29.3,-0.813,-0.813,-0.03,0.07,6,2,0,38924,17934153,28.6,-0.001,-0.002,-0.04,0.0,6,2,0,38924,17934153,29.3,-0.003,-0.003,0.0,-0.06,5,2,0,38756,17934152,28.6,0.002,0.002,-0.05,0.24,6,2,0,38756,17934152,28.6,-0.811,-0.811,0.0,-0.06,6,2,0,38756,17934152,29.3,0.002,0.002,-0.09,-0.05,1,2,0,38756,17934152,28.6,-0.809,-0.809,0.08,-0.01,6,2,0,38756,17934152,29.3
3,17909624574044,17909630794882,hold,0.09337161599978572,19.165414,0.07761199958622456,6.220838,1.4371090001077391,1.9052869974984787,0.027418136596679688,38925,38757,0.001,0.002,-0.01,-0.03,8,2,0,38925,17934173,29.3,0.001,0.001,0.04,0.02,11,2,0,38925,17934173,28.6,-0.805,-0.805,0.18,-0.08,7,2,0,38925,17934173,29.3,-0.813,-0.813,0.04,0.07,11,2,0,38925,17934173,28.6,-0.001,-0.002,-0.19,-0.22,2,2,0,38925,17934173,29.3,-0.003,-0.003,0.03,-0.07,10,2,0,38757,17934172,28.6,0.002,0.002,0.03,-0.06,5,2,0,38757,17934172,28.6,-0.811,-0.811,-0.12,-0.16,12,2,0,38757,17934172,29.3,0.002,0.002,0.12,0.05,6,2,0,38757,17934172,28.6,-0.809,-0.81,-0.01,-0.11,11,2,0,38757,17934172,29.3
4,17909644574688,17909651686471,hold,0.11337386000013794,20.891589,0.07985599950188771,7.111783,1.9462159980321303,2.4245700005849358,0.0286102294921875,38926,38758,0.001,0.001,0.09,0.07,13,2,0,38926,17934193,29.3,0.001,0.001,-0.1,-0.11,1,2,0,38926,17934193,28.6,-0.805,-0.805,0.09,0.22,12,2,0,38926,17934193,29.3,-0.813,-0.813,-0.06,-0.02,1,2,0,38926,17934193,28.6,-0.001,-0.001,0.08,-0.08,7,2,0,38926,17934193,29.3,-0.003,-0.003,0.0,0.0,15,2,0,38758,17934192,28.6,0.002,0.002,-0.06,-0.02,10,2,0,38758,17934192,28.6,-0.811,-0.811,0.09,-0.02,2,2,0,38758,17934192,29.3,0.002,0.002,0.16,0.02,11,2,0,38758,17934192,28.6,-0.809,-0.809,0.04,-0.07,1,2,0,38758,17934192,29.3
5,17909664599301,17909681806914,hold,0.13338647199998377,30.120443,0.09246799891116098,17.207613,1.9336709992785472,2.481307998095872,0.036716461181640625,38927,38759,0.001,0.001,-0.18,-0.13,3,2,0,38927,17934213,29.3,0.001,0.001,0.07,0.02,6,2,0,38927,17934213,28.6,-0.805,-0.805,0.1,-0.02,2,2,0,38927,17934213,29.3,-0.813,-0.813,0.01,-0.1,6,2,0,38927,17934213,28.6,-0.001,-0.001,0.1,0.03,12,2,0,38927,17934213,29.3,-0.003,-0.003,-0.04,0.24,5,2,0,38759,17934212,28.6,0.002,0.002,0.0,0.04,15,2,0,38759,17934212,28.6,-0.811,-0.811,-0.11,0.19,7,2,0,38759,17934212,29.3,0.002,0.002,-0.05,-0.13,1,2,0,38759,17934212,28.6,-0.809,-0.809,-0.11,0.0,6,2,0,38759,17934212,29.3
6,17909684584104,17909691707856,hold,0.15338058800261933,9.900942,0.08658400111016817,7.123752,2.0918219997838605,2.5636780010245275,0.027418136596679688,38928,38760,0.001,0.001,0.06,-0.08,9,2,0,38928,17934234,29.3,0.001,0.001,-0.09,0.02,12,2,0,38928,17934234,28.6,-0.805,-0.805,-0.09,0.16,7,2,0,38928,17934234,29.3,-0.813,-0.813,-0.07,-0.22,12,2,0,38928,17934234,28.6,-0.001,-0.001,0.04,0.31,3,2,0,38928,17934234,29.3,-0.003,-0.003,-0.15,-0.21,11,2,0,38760,17934233,28.6,0.002,0.002,0.12,-0.1,6,2,0,38760,17934233,28.6,-0.811,-0.811,-0.12,0.04,13,2,0,38760,17934233,29.3,0.002,0.002,-0.13,0.03,7,2,0,38760,17934233,28.6,-0.809,-0.809,0.09,-0.12,12,2,0,38760,17934233,29.3
7,17909704577196,17909712192710,hold,0.17337505600153236,20.484854,0.08105199958663434,7.615514,2.695748000405729,3.1532690009044018,0.025987625122070312,38929,38761,0.001,0.001,-0.05,0.03,13,2,0,38929,17934253,29.3,0.001,0.001,0.01,0.06,1,2,0,38929,17934253,28.6,-0.805,-0.805,-0.01,-0.03,12,2,0,38929,17934253,29.3,-0.813,-0.813,0.1,-0.05,1,2,0,38929,17934253,28.6,-0.001,-0.001,-0.02,-0.15,7,2,0,38929,17934253,29.3,-0.003,-0.003,-0.04,0.0,0,2,0,38761,17934252,28.6,0.002,0.002,0.27,0.1,10,2,0,38761,17934252,28.6,-0.811,-0.811,-0.02,-0.13,2,2,0,38761,17934252,29.3,0.002,0.002,0.02,0.01,11,2,0,38761,17934252,28.6,-0.809,-0.809,-0.01,-0.1,1,2,0,38761,17934252,29.3
8,17909724575761,17909731402989,hold,0.19337496500156703,19.210279,0.08096099918475375,6.827228,1.9939300000260118,2.4519309990864713,0.02574920654296875,38930,38762,0.001,0.001,0.02,-0.23,3,2,0,38930,17934273,29.3,0.001,0.001,0.06,0.17,6,2,0,38930,17934273,28.6,-0.805,-0.805,0.07,-0.18,2,2,0,38930,17934273,29.3,-0.813,-0.813,0.01,-0.1,6,2,0,38930,17934273,28.6,-0.001,-0.001,0.04,0.27,12,2,0,38930,17934273,29.3,-0.003,-0.003,0.03,-0.14,6,2,0,38762,17934273,28.6,0.002,0.002,0.03,-0.26,1,2,0,38762,17934273,28.6,-0.811,-0.811,-0.06,0.14,7,2,0,38762,17934273,29.3,0.002,0.002,0.05,0.06,2,2,0,38762,17934273,28.6,-0.809,-0.809,0.04,-0.02,7,2,0,38762,17934273,29.3
9,17909744576021,17909751109671,hold,0.2133743609992962,19.706682,0.08035699647734873,6.53365,1.7505930009065196,2.203792999353027,0.026941299438476562,38931,38763,0.001,0.001,0.13,0.01,8,2,0,38931,17934293,29.3,0.001,0.001,-0.03,-0.02,11,2,0,38931,17934293,28.6,-0.805,-0.805,0.01,0.14,6,2,0,38931,17934293,29.3,-0.813,-0.813,-0.02,-0.07,11,2,0,38931,17934293,28.6,-0.001,-0.002,0.09,0.07,2,2,0,38931,17934293,29.3,-0.003,-0.003,-0.02,-0.04,10,2,0,38763,17934292,28.6,0.002,0.002,-0.02,-0.2,5,2,0,38763,17934292,28.6,-0.811,-0.811,-0.03,0.0,11,2,0,38763,17934292,29.3,0.002,0.002,-0.11,-0.04,6,2,0,38763,17934292,28.6,-0.809,-0.809,-0.09,-0.34,11,2,0,38763,17934292,29.3
